DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
1;2;14;21;36;46;0;0;7;34;615;1215;1340;20089;27820;56355;109548;411040;20418538
2;13;25;32;38;46;2;3;13;43;976;2515;1874;28407;41816;102769;151524;610112;33768050
3;1;6;13;17;26;0;6;11;98;1334;2298;3520;44519;50062;84941;206660;624396;22520918
4;10;13;20;33;41;0;5;10;88;1619;3041;4207;59447;65557;122853;287234;911202;37061903
5;10;15;17;40;45;1;2;7;37;728;1488;1552;24674;32263;65960;128733;504141;23174733
6;3;9;20;30;42;1;9;24;147;2617;5699;6351;88855;115019;242327;460652;1654248;75524187
7;20;21;27;33;40;0;8;20;92;1666;3598;3966;59049;79529;170385;311905;1180081;55515157
8;1;13;40;48;49;0;4;17;90;1752;3796;4011;59285;83057;176565;324314;1216920;63683745
9;4;5;15;23;32;0;3;17;180;1957;3597;6432;87493;80675;150241;429212;1098027;44274910
10;6;29;42;45;47;0;7;11;67;1345;2798;3180;47840;66359;137363;257481;1020716;54213147
11;9;21;28;30;38;0;4;13;67;1404;2930;3074;43499;60294;125890;223572;851366;37871816
12;4;13;23;48;50;0;9;19;95;1857;4087;4642;65915;86458;177992;332182;1251070;55615475
13;3;13;15;33;42;1;8;6;112;1351;2138;4318;48279;52607;82385;224154;614986;22379180
14;13;27;35;46;47;0;6;5;51;1028;2139;2218;31705;46193;97471;177830;686451;33649531
15;12;13;14;29;35;0;3;2;36;819;1404;2051;30940;37449;69045;156328;553710;22333044
16;6;8;34;38;48;1;2;17;61;1056;2075;3102;48231;52762;103278;274542;791090;37882650
17;4;29;30;35;50;0;3;6;34;685;1294;1889;30430;34412;66356;174727;549482;26239335
18;9;13;26;31;33;0;6;12;73;1479;2959;2852;39483;60367;123981;193695;828392;34814398
19;8;15;19;24;35;0;6;14;41;835;1868;1644;23058;36886;80856;115505;516528;23378481
20;1;18;23;46;50;0;5;13;105;1471;3059;2795;41382;45467;86863;233497;669207;31149621
21;5;25;31;39;45;0;2;7;28;594;1371;1465;21698;30200;66334;119364;425838;21178683
22;2;9;26;32;38;0;5;2;84;946;1771;3841;46132;44710;81750;226981;660208;29733252
23;10;22;36;45;48;0;6;3;30;632;1266;1175;16939;24862;55265;92387;367469;19788964
24;4;17;29;35;49;0;5;12;30;928;1845;1881;27180;39789;82830;151640;585563;27972177
25;4;7;11;34;47;1;5;11;53;1318;1619;1939;27423;45583;71633;138137;603176;22969603
26;4;5;21;23;30;0;2;12;36;948;2454;1881;26393;44074;108319;135680;624934;28657835
27;7;16;19;22;33;0;2;5;86;1176;1999;3121;39714;46926;79068;181859;595731;21380698
28;21;29;35;43;46;0;4;11;42;733;1642;2057;32074;35447;75220;186086;554002;29608910
29;5;7;19;21;42;0;5;7;42;1219;2247;1876;23895;44103;85143;115018;531277;20208881
30;24;44;46;48;50;0;6;14;41;946;1800;1761;26722;34444;68479;153875;511058;28289624
31;10;23;35;40;43;1;1;4;49;720;1370;1878;28582;31225;57746;152906;463812;21288820
32;9;10;12;24;43;0;1;8;88;1269;2108;3840;53467;57121;96043;261737;781174;29420142
33;1;24;43;45;50;0;0;5;43;563;1052;1684;27470;25736;48843;171630;398816;20016555
34;1;11;29;41;43;0;2;3;41;840;1606;1843;24995;39699;81756;133188;568965;28544151
35;15;18;20;27;34;1;3;7;49;959;1897;2088;28511;40598;82890;149174;560603;24438740
36;5;22;35;38;49;0;6;12;53;1254;2460;2995;44817;50710;98544;251029;734130;33673651
37;8;18;22;24;27;0;7;11;44;981;2381;1617;22415;40172;96919;111342;521405;22734541
38;4;18;39;43;47;0;4;5;47;935;1875;2606;40773;41431;83179;234691;628468;32121669
39;18;22;25;27;39;0;3;7;42;809;1627;1852;25682;36276;73257;129645;497044;21627817
40;31;33;34;39;45;0;1;3;39;721;1671;1688;26027;34224;74872;149285;525121;30722849
41;1;7;20;21;48;0;3;5;43;749;1147;2139;32816;34128;57654;161567;487001;19510966
42;5;15;25;38;49;1;7;11;54;1235;2509;2412;30708;51563;107349;169937;670601;31171494
43;11;13;37;40;48;0;1;3;47;653;1211;1316;21352;30030;56076;117020;468883;21206402
44;16;18;22;28;46;1;4;11;89;1760;3999;3811;57195;81820;184670;302785;1180618;58396077
45;12;18;21;32;33;0;9;14;61;1071;2831;2697;38754;50695;131446;204525;728068;36720070
46;7;25;34;40;49;0;4;19;71;1464;3067;3571;53776;72197;154402;291773;1095967;56033285
47;2;15;32;39;44;0;8;5;43;1041;1874;2536;35787;44537;86650;186537;647988;31398122
48;5;24;27;41;45;0;5;8;64;1203;2229;2752;41512;57208;102942;225568;863242;37073153
49;7;13;16;25;26;0;6;11;62;1173;2526;2595;32372;46798;102445;152797;583253;24024999
50;3;8;31;34;47;0;3;5;47;874;1906;1813;28729;41193;91986;157548;626392;33127890
51;5;33;36;38;47;0;2;7;17;503;1130;1768;27162;27124;54845;155628;422664;22030013
52;23;26;29;37;40;0;1;6;60;1003;1879;2387;34429;46874;86497;185290;699811;31567448
53;4;13;30;34;47;0;3;4;43;681;1387;1825;29895;29450;60435;165287;455796;21431473
54;3;21;26;28;45;0;1;7;48;988;1942;1887;28937;45892;95733;150037;673646;30427158
55;5;19;24;31;37;0;3;11;36;671;1497;1876;26063;29825;64706;133014;431358;19729572
56;4;30;31;38;42;1;5;2;49;942;2021;2346;35400;48548;106374;194919;751434;39220040
57;18;23;26;35;44;0;3;8;46;1000;2087;1826;25179;40932;86973;131887;566592;27077145
58;13;21;24;44;49;0;4;14;87;1248;2406;3234;45733;54163;111497;233461;768789;34804614
59;13;15;20;24;46;0;2;3;32;676;1370;1718;24693;33356;69076;129071;490383;22099633
60;21;24;31;39;47;0;1;8;72;1051;1976;3717;58244;45256;82988;329046;680275;32101784
61;3;14;26;47;50;0;3;8;27;720;1354;1433;21630;30128;63133;114719;450080;22077086
62;8;12;19;30;33;0;11;19;50;1400;3636;2354;31403;55625;137637;159450;730741;33604772
63;11;18;29;42;49;0;5;6;37;636;1522;1397;19798;29635;64621;98177;426196;20785096
64;6;10;28;45;50;0;2;4;51;863;2260;2093;31300;37499;101267;149560;532451;30636804
65;16;18;26;38;44;1;4;2;47;690;1415;1355;18327;28557;62174;93424;403902;20235654
66;3;4;19;28;43;1;6;7;118;1335;2358;5569;77548;60019;100776;368327;844206;32279634
67;7;20;26;28;50;0;5;3;44;666;1399;2308;33757;32234;64627;172691;479144;20388518
68;7;30;37;39;42;1;3;8;66;898;1678;3736;60227;48593;80878;329336;760822;32791102
69;8;27;34;36;39;0;4;4;31;666;1218;1395;21415;29748;59652;115911;427349;21165169
70;6;24;25;27;30;1;7;17;126;2050;3745;5844;83444;92491;167378;440246;1297395;53625159
71;1;4;23;33;44;0;5;11;74;1442;2768;2932;42825;65280;120281;220943;935215;38201602
72;5;10;38;40;41;0;6;11;69;1449;3224;3776;58818;74171;150526;324122;1155676;56688664
73;3;5;22;27;44;0;1;8;35;740;1845;1797;25754;33944;79135;130689;486135;20841335
74;12;32;38;43;44;1;2;6;62;1040;1816;3401;48286;49277;89325;269402;708467;33225784
75;21;25;28;35;42;0;2;8;61;975;2168;2212;30467;32531;67662;158935;457694;21628085
76;13;17;28;30;32;0;5;7;140;1624;2466;5118;67179;63785;101221;320920;852197;31138990
77;23;26;36;37;49;0;0;2;36;529;1024;1453;21462;27430;48987;118157;428931;20284333
78;2;4;6;19;39;1;6;10;91;1531;2407;4417;58602;65796;107491;292652;843544;32947584
79;8;17;25;41;47;0;2;8;22;646;1378;1343;19763;29097;59743;111086;427175;20579734
80;3;17;19;46;47;1;2;10;47;867;1952;1704;26398;41519;94587;138345;630272;32235864
81;1;21;33;37;38;0;1;6;18;493;1026;1634;26279;26166;53044;151424;422991;21139437
82;8;10;15;16;31;1;2;12;75;1620;2832;3220;43527;69584;130093;215855;950121;38236667
83;18;20;23;42;48;0;5;5;31;710;1377;2008;32728;35142;66640;185945;548933;25187855
84;5;19;34;35;41;0;7;5;64;948;1919;2665;43978;47370;88489;234265;758461;35015530
85;4;12;35;42;48;0;3;9;60;763;1302;2439;37093;34015;61786;205569;522270;23683858
86;19;26;32;33;42;0;2;8;37;865;2208;1834;27909;41632;96219;149982;629065;33581583
87;18;20;25;26;37;0;2;7;41;495;1350;1348;19465;24926;69730;106972;374843;22886939
88;1;2;11;27;29;0;10;19;59;1287;3095;2317;31875;55529;133944;156812;735151;33891580
89;2;20;27;33;45;2;9;17;68;1285;2951;2945;41977;58237;134170;225576;861760;44233849
90;3;27;31;38;44;0;7;9;105;1554;2856;5393;74946;74369;135489;380968;1107116;47638222
91;13;20;24;29;45;0;12;6;101;1558;2889;5906;85971;75791;138296;439456;1082996;45449352
92;1;6;13;22;28;0;11;28;87;1888;4306;3264;42466;70862;157019;206501;900498;36451593
93;5;19;31;43;50;0;5;8;46;1008;2232;2731;41355;45377;93673;232031;677996;32341873
94;12;13;17;22;43;0;6;14;61;1341;2966;2724;39669;64216;140480;198624;892592;37231683
95;6;8;27;37;41;0;5;3;32;696;1507;1403;21886;32195;69142;116134;497873;24183123
96;1;22;23;24;31;0;4;15;50;1140;2784;2533;36424;53266;126441;209868;798804;40503753
97;6;24;35;49;50;0;2;4;31;601;1577;1529;22652;27960;54970;129449;421703;21314355
98;1;2;18;31;36;0;2;5;37;657;1603;1700;25447;37181;80648;139978;590296;30895229
99;6;13;15;29;32;0;2;3;65;858;1668;2266;29285;36385;68753;145288;494730;19806139
100;2;7;10;23;43;1;5;6;82;1525;2579;4070;55389;63534;108386;265961;819372;30951662
101;19;23;27;42;44;1;2;8;64;912;1578;3135;43853;40358;66459;209623;559194;21334955
102;13;25;26;40;50;0;13;12;60;1147;2046;2333;34268;51534;95111;179120;747478;32255233
103;14;15;19;36;45;0;4;7;19;465;1188;1017;16244;23652;59713;87926;367278;20452300
104;3;13;15;29;42;1;9;24;126;2463;5594;5076;70063;105363;227662;361622;1426925;61644581
105;14;29;37;40;48;0;5;6;24;600;1303;1159;16861;23969;53292;93111;356791;20002250
106;20;28;35;42;43;2;5;3;41;805;1731;1766;25454;37874;82224;134688;559249;30386409
107;6;12;13;35;38;1;3;5;33;763;1338;1600;24147;35410;60519;122698;529755;20608689
108;7;19;29;30;33;0;6;14;73;1112;2011;3343;47216;51295;94942;234186;708105;27847394
109;9;10;30;32;37;1;4;3;31;518;1011;1556;26924;25128;50714;152910;416630;19591682
110;2;3;10;31;38;1;3;1;47;766;1783;1845;27965;40929;97629;150990;616414;31738919
111;29;33;39;41;44;0;0;2;24;503;1147;1324;18873;25620;54533;99379;381706;20492417
